ID,Loan_Amount,Grade,Interest_Rate,Default_Prob
140981286,20000,A,0.08460000000000001,0.205711024234036
140561880,6000,A,0.08460000000000001,0.205730779045337
139915334,32500,A,0.08460000000000001,0.20576094072066
139827375,40000,A,0.08460000000000001,0.205810646261998
140541873,15000,A,0.08460000000000001,0.205813910208936
140437424,30000,A,0.08460000000000001,0.205829200196007
140404790,13000,A,0.08460000000000001,0.205846867361742
139275688,15000,A,0.08460000000000001,0.205853788984341
140901479,6400,A,0.08460000000000001,0.205858471070638
140446845,40000,A,0.08460000000000001,0.205860103223481
138413592,40000,A,0.08460000000000001,0.205916462842547
139290570,30000,A,0.08460000000000001,0.20591737314688
140323125,20000,A,0.08460000000000001,0.205936791898293
139848084,30000,A,0.08460000000000001,0.20593824763483
141081724,30000,A,0.08460000000000001,0.205960839208184
139007891,40000,A,0.08460000000000001,0.205967629684226
139714434,10000,A,0.08460000000000001,0.205991848743757
140443415,22000,A,0.08460000000000001,0.205993525787262
140538793,10000,A,0.08460000000000001,0.206006337680823
140704523,24000,A,0.08460000000000001,0.206012420235243
140036713,23800,A,0.08460000000000001,0.206041245945746
140237279,30000,A,0.08460000000000001,0.206063645864663
139579476,32000,A,0.08460000000000001,0.206101271876683
139517739,23000,A,0.08460000000000001,0.206101444511399
139944113,15000,A,0.08460000000000001,0.206118510347167
140460008,15000,A,0.08460000000000001,0.206121481121133
140896183,40000,A,0.08460000000000001,0.206127570223491
140802145,16000,A,0.08460000000000001,0.206129472354525
140442964,30000,A,0.08460000000000001,0.206141183620019
139440043,23500,A,0.08460000000000001,0.206145550457651
139625822,40000,A,0.08460000000000001,0.206152601791601
140730380,8500,A,0.08460000000000001,0.206156078935114
139919700,16000,A,0.08460000000000001,0.206156322307751
140877409,30000,A,0.08460000000000001,0.206159411951174
138055285,7700,A,0.08460000000000001,0.206173135557411
139280365,20000,A,0.08460000000000001,0.206187101240161
139304172,12000,A,0.08460000000000001,0.206193467574856
139583033,15000,A,0.08460000000000001,0.206202247991864
139798215,35000,A,0.08460000000000001,0.206206950044281
141018941,40000,A,0.08460000000000001,0.206211042400409
140734601,12000,A,0.08460000000000001,0.206218031995017
140433108,18000,A,0.08460000000000001,0.206256328522398
139498173,26000,A,0.08460000000000001,0.20626291904603
140822735,7200,A,0.08460000000000001,0.206273969847627
138923560,36000,A,0.08460000000000001,0.206282886413189
139816235,23000,A,0.08460000000000001,0.206287943730867
139253518,40000,A,0.08460000000000001,0.206303373771223
